Participant-ID,First-Name,Last-Name,Email,House,CompleteYears,Perc_Academic
32437,Rhett,Barton,Rhett.Barton@school.edu,Vanguard,9,82.0
32540,Beckett,Powell,Beckett.Powell@school.edu,Vanguard,4,96.0
32443,Rory,Briggs,Rory.Briggs@school.edu,Griffin,9,62.0
32514,Abel,Mendoza,Abel.Mendoza@school.edu,Phoenix,1,55.0
32485,Josiah,Perez,Josiah.Perez@school.edu,Falcon,2,48.0
32436,King,Ingram,King.Ingram@school.edu,Vanguard,2,25.0
32553,Wyatt,Green,Wyatt.Green@school.edu,Redwood,6,40.0
32463,Ricardo,Owens,Ricardo.Owens@school.edu,Falcon,3,42.0
32444,Derek,Barnes,Derek.Barnes@school.edu,Phoenix,9,42.0
32428,Xavier,Bryant,Xavier.Bryant@school.edu,Vanguard,9,60.0
32494,Lincoln,Peterson,Lincoln.Peterson@school.edu,Phoenix,0,53.0
32484,Nathan,Allen,Nathan.Allen@school.edu,Astral,2,42.0
32541,Jordan,Reed,Jordan.Reed@school.edu,Phoenix,10,31.0
32445,Elijah,Moore,Elijah.Moore@school.edu,Griffin,2,22.0
32470,Finn,Perry,Finn.Perry@school.edu,Phoenix,1,36.0
32395,Declan,Patterson,Declan.Patterson@school.edu,Astral,2,37.0
32531,Connor,Young,Connor.Young@school.edu,Astral,0,50.0
32440,Joseph,Thompson,Joseph.Thompson@school.edu,Vanguard,1,30.0
32550,Jackson,Rodriguez,Jackson.Rodriguez@school.edu,Vanguard,0,31.0
32511,Emmanuel,Ford,Emmanuel.Ford@school.edu,Falcon,0,77.0
32556,Peter,Alexander,Peter.Alexander@school.edu,Redwood,3,18.0
32549,Samuel,Harris,Samuel.Harris@school.edu,Phoenix,0,69.0
32400,Roman,Simmons,Roman.Simmons@school.edu,Falcon,0,36.0
32505,Aaron,Edwards,Aaron.Edwards@school.edu,Falcon,0,59.0
32417,Leon,Kirk,Leon.Kirk@school.edu,Griffin,0,49.0
32478,Adam,Rivera,Adam.Rivera@school.edu,Falcon,2,84.0
32477,Walter,Kim,Walter.Kim@school.edu,Phoenix,0,35.0
32474,Cameron,Cox,Cameron.Cox@school.edu,Falcon,1,16.0
32493,Luke,Phillips,Luke.Phillips@school.edu,Vanguard,6,76.0
32413,Nikolai,Weeks,Nikolai.Weeks@school.edu,Falcon,9,19.0
32459,Zander,Buchanan,Zander.Buchanan@school.edu,Astral,9,64.0
32534,Liam,Smith,Liam.Smith@school.edu,Redwood,8,32.0
32527,Bruce,Malone,Bruce.Malone@school.edu,Griffin,0,56.0
32532,Caleb,Turner,Caleb.Turner@school.edu,Redwood,1,57.0
32399,Damon,Banks,Damon.Banks@school.edu,Astral,9,77.0
32409,Winston,Bruce,Winston.Bruce@school.edu,Vanguard,4,77.0
32475,Chance,Wallace,Chance.Wallace@school.edu,Astral,9,69.0
32462,Noah,Johnson,Noah.Johnson@school.edu,Falcon,0,50.0
32498,Simon,Cline,Simon.Cline@school.edu,Griffin,0,32.0
32458,Jeremiah,Myers,Jeremiah.Myers@school.edu,Astral,0,28.0
32404,Greyson,Ross,Greyson.Ross@school.edu,Astral,0,54.0
32517,Tobias,Tanner,Tobias.Tanner@school.edu,Falcon,1,78.0
32401,Isaac,Walker,Isaac.Walker@school.edu,Vanguard,0,42.0
32504,Tucker,Campos,Tucker.Campos@school.edu,Phoenix,9,13.0
32448,Zayden,Coleman,Zayden.Coleman@school.edu,Astral,9,70.0
32522,Dennis,Lutz,Dennis.Lutz@school.edu,Redwood,9,77.0
32509,Ezekiel,Gonzales,Ezekiel.Gonzales@school.edu,Redwood,0,48.0
32397,Carlos,Torres,Carlos.Torres@school.edu,Astral,7,77.0
32523,Elliot,Hayes,Elliot.Hayes@school.edu,Griffin,8,59.0
32512,Malik,Cortez,Malik.Cortez@school.edu,Phoenix,4,53.0
32455,Lawrence,Cervantes,Lawrence.Cervantes@school.edu,Redwood,2,19.0
32489,Ronald,Salazar,Ronald.Salazar@school.edu,Griffin,4,83.0
32432,William,Thomas,William.Thomas@school.edu,Vanguard,7,66.0
32476,Bennett,Sullivan,Bennett.Sullivan@school.edu,Phoenix,8,84.0
32516,Axel,Griffin,Axel.Griffin@school.edu,Redwood,8,42.0
32467,Malcolm,Knox,Malcolm.Knox@school.edu,Falcon,8,36.0
32408,Jonathan,Evans,Jonathan.Evans@school.edu,Falcon,8,47.0
32420,Levi,Mitchell,Levi.Mitchell@school.edu,Vanguard,7,93.0
32497,Colton,Henderson,Colton.Henderson@school.edu,Redwood,0,67.0
32515,Caleb,Davis,Caleb.Davis@school.edu,Falcon,0,31.0
32429,Charles,Diaz,Charles.Diaz@school.edu,Phoenix,4,9.0
32415,Silas,Jenkins,Silas.Jenkins@school.edu,Falcon,1,16.0
32435,Barrett,Gibson,Barrett.Gibson@school.edu,Griffin,2,78.0
32405,Patrick,Olsen,Patrick.Olsen@school.edu,Falcon,4,11.0
32392,Richard,Harrington,Richard.Harrington@school.edu,Redwood,1,60.0
32495,Blake,Sanders,Blake.Sanders@school.edu,Phoenix,2,36.0
32427,Enzo,Espinoza,Enzo.Espinoza@school.edu,Redwood,0,72.0
32421,Sterling,Hickman,Sterling.Hickman@school.edu,Astral,5,66.0
32422,Jack,Lopez,Jack.Lopez@school.edu,Astral,5,65.0
32500,Michael,Jackson,Michael.Jackson@school.edu,Astral,2,79.0
32403,Miguel,Jordan,Miguel.Jordan@school.edu,Griffin,0,24.0
32557,Bryce,Montgomery,Bryce.Montgomery@school.edu,Falcon,5,53.0
32499,Raphael,Barron,Raphael.Barron@school.edu,Griffin,2,88.0
32433,Ryan,Hall,Ryan.Hall@school.edu,Phoenix,0,47.0
32402,Jaxon,Morris,Jaxon.Morris@school.edu,Redwood,2,34.0
32491,Logan,Lewis,Logan.Lewis@school.edu,Griffin,4,36.0
