nervous_ans,hopeless_ans,restless_ans,depressed_ans,effort_ans,worthless_ans,Participant-ID,Email,home_lang_ans,comfortability_ans,isolated_school_ans,criticise_school_ans,opinion_school_ans,bullying_ans,future_ans,intelligence1_ans,covid_ans,intelligence2_ans,man_chores_opinion,man_violence_opinion,man_sexual_opinion,man_fears_opinion,gay_man_opinion,soft_sport_boys_ans,gender_diff_ans,nerds_ans,men_better_stem_ans,how_happy_ans
1.0,1.0,1.0,1.0,1.0,1.0,32440,Joseph.Thompson@school.edu,0.0,7.0,3.0,6.0,6.0,7.0,7.0,3.0,4.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,7.0,3.0,4.0,7.0
1.0,1.0,1.0,1.0,1.0,1.0,32413,Nikolai.Weeks@school.edu,0.0,7.0,4.0,5.0,4.0,7.0,6.0,4.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,2.0,10.0
1.0,1.0,1.0,1.0,1.0,1.0,32534,Liam.Smith@school.edu,0.0,7.0,4.0,2.0,4.0,6.0,5.0,5.0,2.0,6.0,6.0,1.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,8.0
1.0,1.0,1.0,1.0,1.0,1.0,32409,Winston.Bruce@school.edu,0.0,7.0,7.0,3.0,2.0,6.0,7.0,1.0,7.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,1.0,9.0
1.0,1.0,1.0,1.0,1.0,1.0,32401,Isaac.Walker@school.edu,0.0,6.0,1.0,7.0,2.0,7.0,7.0,5.0,2.0,7.0,7.0,1.0,1.0,6.0,1.0,1.0,5.0,1.0,2.0,9.0
1.0,1.0,1.0,1.0,1.0,1.0,32467,Malcolm.Knox@school.edu,1.0,5.0,2.0,4.0,5.0,4.0,5.0,2.0,5.0,2.0,5.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,32403,Miguel.Jordan@school.edu,0.0,6.0,1.0,3.0,2.0,6.0,7.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0
1.0,1.0,1.0,1.0,1.0,1.0,32499,Raphael.Barron@school.edu,0.0,7.0,2.0,7.0,1.0,7.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,1.0,8.0
1.0,1.0,1.0,1.0,1.0,1.0,32453,Braxton.Warren@school.edu,1.0,5.0,6.0,6.0,1.0,5.0,5.0,6.0,7.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,32547,David.Parker@school.edu,1.0,4.0,5.0,6.0,3.0,4.0,6.0,5.0,4.0,7.0,4.0,5.0,3.0,6.0,4.0,7.0,6.0,7.0,5.0,9.0
1.0,1.0,1.0,1.0,1.0,1.0,32452,Chandler.Parks@school.edu,1.0,7.0,1.0,7.0,4.0,7.0,7.0,4.0,6.0,2.0,5.0,5.0,4.0,3.0,7.0,7.0,7.0,5.0,5.0,9.0
1.0,1.0,1.0,1.0,1.0,1.0,32519,Cole.Stewart@school.edu,0.0,4.0,2.0,5.0,5.0,6.0,7.0,4.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,7.0
1.0,1.0,1.0,1.0,1.0,1.0,32464,Cole.Brooks@school.edu,0.0,7.0,2.0,5.0,2.0,7.0,7.0,3.0,6.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,9.0
1.0,1.0,1.0,1.0,1.0,1.0,32486,Jaxson.Washington@school.edu,0.0,7.0,1.0,4.0,1.0,7.0,7.0,2.0,2.0,6.0,2.0,2.0,7.0,2.0,7.0,2.0,6.0,1.0,1.0,10.0
2.0,2.0,4.0,1.0,3.0,1.0,37895,Rhett.Barton@school.edu,1.0,6.0,4.0,2.0,1.0,5.0,6.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,3.0,7.0
1.0,3.0,3.0,3.0,2.0,3.0,37997,Beckett.Powell@school.edu,0.0,5.0,4.0,4.0,6.0,6.0,6.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,3.0
3.0,2.0,4.0,1.0,2.0,1.0,37901,Rory.Briggs@school.edu,0.0,6.0,2.0,5.0,3.0,7.0,5.0,2.0,1.0,3.0,3.0,1.0,5.0,1.0,4.0,3.0,7.0,5.0,1.0,7.0
2.0,2.0,4.0,2.0,2.0,2.0,37971,Abel.Mendoza@school.edu,0.0,6.0,2.0,7.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,6.0,1.0,1.0,8.0
3.0,2.0,4.0,2.0,4.0,1.0,37943,Josiah.Perez@school.edu,0.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,7.0,4.0,3.0,2.0,7.0
3.0,1.0,3.0,1.0,1.0,2.0,37894,King.Ingram@school.edu,0.0,5.0,3.0,2.0,4.0,6.0,7.0,4.0,3.0,2.0,6.0,2.0,2.0,2.0,3.0,4.0,5.0,1.0,1.0,9.0
